縣市,經度,緯度
基隆市,121.7394200348013,25.13118000008687
基隆市,121.73696003003836,25.12819000758613
高雄市,120.27952996095621,22.626599982672644
基隆市,121.73881997435295,25.128320010904368
臺中市,120.67311001972904,24.146450000883288
基隆市,121.74731997854416,25.134280005066785
基隆市,121.75732000812764,25.127869986522878
基隆市,121.74106003797665,25.1374699897773
基隆市,121.76184003323402,25.147549982717052
高雄市,120.30415004133442,22.604940013310383
高雄市,120.32049000000006,22.614090000000033
基隆市,121.73837003379057,25.13019001350281
基隆市,121.740380014172,25.13369000290227
基隆市,121.73845997161158,25.13040999655165
基隆市,121.74040000000002,25.13344000000007
基隆市,121.74465000710664,25.13275998883543
基隆市,121.72516996121277,25.141940016831242
高雄市,120.30929000000003,22.64356000000004
基隆市,121.73854001878692,25.129589994963993
基隆市,121.72561998559422,25.101529981522607
連江縣,119.99807998537926,26.22441998041441
基隆市,121.74605003639408,25.133180006003556
基隆市,121.73430662938856,25.12110945311072
高雄市,120.30353003195654,22.66480000348053
基隆市,121.74741000018429,25.133839997059606
基隆市,121.74951000220585,25.09837000402545
基隆市,121.69762996104437,25.08850001966977
高雄市,120.3247400188468,22.663789984147897
基隆市,121.74308996728763,25.123489981109053
基隆市,121.75164998590559,25.127669994313113
基隆市,121.7480000023488,25.09825999154629
桃園市,121.22474997361412,24.935230005036694
基隆市,121.74268000840334,25.12768998515219
基隆市,121.75121001980793,25.12927001581028
高雄市,120.30379003859305,22.62286999385006
高雄市,120.29575003324813,22.79286001938993
基隆市,121.73953000537097,25.13027001876863
基隆市,121.73875995992626,25.13093000982465
基隆市,121.7423100311972,25.128350018117754
高雄市,120.29766001752466,22.794499980655733
高雄市,120.24862999108092,22.879659991189683
基隆市,121.73198998055044,25.13794000499786
基隆市,121.73601002513244,25.107529999272685
基隆市,121.74307001835808,25.124879994022137
基隆市,121.75246001302843,25.127300017106947
臺北市,121.547990022948,25.051950018411475
基隆市,121.74793001345728,25.127569998208237
基隆市,121.72390001906264,25.11900000512553
高雄市,120.30419002301257,22.67525001553598
基隆市,121.74127997911594,25.136820015095548
高雄市,120.288452760165,22.682647407988906
基隆市,121.74002001143059,25.133130007951106
基隆市,121.73923999152113,25.1307099848663
高雄市,120.30633000671223,22.65991000116799
基隆市,121.70643003736922,25.089989986778235
基隆市,121.74616000696376,25.132909982992764
高雄市,120.32162002302783,22.677839981707663
基隆市,121.74114000133291,25.126359986665825
基隆市,121.73520997247437,25.13242001884264
基隆市,121.70427002092087,25.141689984659518
高雄市,120.30817000209736,22.6625000092492
桃園市,121.2258699635164,24.92804998295756
基隆市,121.73964,25.134380000000075
基隆市,121.74094998358794,25.12719000462777
高雄市,120.31191000729422,22.72390000648979
基隆市,121.76779000000008,25.151810000000072
高雄市,120.29280002242552,22.71666001189345
基隆市,121.73689000000002,25.12505000000005
基隆市,121.75063996657292,25.12747000210335
高雄市,120.29334000000006,22.618550000000035
南投縣,120.70488003115395,23.76581000805172
基隆市,121.75092998042282,25.12903000001285
高雄市,120.29930999516478,22.66557000701575
高雄市,120.29258997193192,22.665730017547368
基隆市,121.73919003537816,25.128650006432395
高雄市,120.295089958373,22.791160001787897
高雄市,120.28955999775305,22.79291001744237
基隆市,121.70643003736922,25.089989986778235
高雄市,120.36827998252971,22.565440001229486
臺北市,121.54126999971515,25.054749993167235
高雄市,120.33843998812996,22.63038001145719
基隆市,121.74769003956936,25.134310012280153
高雄市,120.32917002231312,22.63102998613894
基隆市,121.74163998185736,25.121840003468947
基隆市,121.7638400391507,25.129850001600502
基隆市,121.74951997667064,25.137100012571125
基隆市,121.76184003323402,25.147549982717052
臺北市,121.526720021631,25.044190010542145
高雄市,120.31834001667721,22.61868000618121
高雄市,120.31765999287256,22.63174001715693
